1280,52,10,5, Phường 9, Quận 5,3,2,Sổ hồng,14/01/2024,22463609,https://mogi.vn/quan-5/mua-nha-mat-tien-pho/chay-tim-ban-nha-tran-phu-q5-52m2-1ty280-ngay-trung-tam-cho-thue-15tr-id22463609
1399,59,15,4, Phường 13, Quận Bình Thạnh,3,2,Sổ hồng,14/01/2024,22459545,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/chua-benh-ban-nha-hem-5m-nguyen-xi-bt-gan-cau-do-59m2-1-4-ty-shr-id22459545
1530,61,12,5, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức),3,2,Sổ hồng,14/01/2024,22459622,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-gap-nha-le-van-thinh-q2-61m2-gan-cho-1-53-ty-con-thuong-luong-id22459622
1590,65,13,5, Phường 10, Quận Gò Vấp,3,3,Sổ hồng,14/01/2024,22459617,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/no-ban-nha-hxh-nguyen-van-luong-go-vap-65m2-1-59-ty-gan-tttm-cho-id22459617
1620,65,13,5, Phường 12, Quận 10,3,3,Sổ hồng,14/01/2024,22459613,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/xoay-von-can-ban-gap-nha-cao-thang-65m2-1-62-ty-q10-nha-dep-o-lien-id22459613
1950,23,5.5,4.5, Phường Bình Trị Đông B, Quận Bình Tân,2,2,Sổ hồng,14/01/2024,22449349,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/chi-950-trieu-co-nha-tinh-lo-10-binh-tan-2-tang-23m2-shr-nha-2-tang-d-id22449349
2300,27,11,2.35, Phường Hòa Thạnh, Quận Tân Phú,1,2,Sổ hồng,14/01/2024,22440797,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/nhinh-2-ty-co-nha-1-lau-27m2-q-tan-phu-id22440797
2850,36,8,4.5, Phường 15, Quận Tân Bình,2,2,Sổ hồng,14/01/2024,22457904,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-ngon-bo-re-36m2-sat-mat-tien-hem-rong-nguyen-sy-sach-tan-binh-id22457904
3100,34,8.5,4, Phường Hòa Thạnh, Quận Tân Phú,2,3,Sổ hồng,14/01/2024,22413206,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/nha-3-tang-xe-hoi-do-cua-gan-ub-quan-tan-phu-3-1-ty-id22413206
3200,37,9.1,4, Phường 8, Quận Gò Vấp,2,2,Sổ hồng,14/01/2024,22204185,https://mogi.vn/quan-go-vap/mua-duong-noi-bo/doc-dao-ban-nha-go-vap-chi-3ty2-hem-xe-tai-372x2tang-100m-ra-mt-kd-id22204185
3300,36,10,3.8, Phường 12, Quận Bình Thạnh,2,1,Sổ hồng,14/01/2024,22412150,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/nhinh-3-ty-36m2-2pn-hxh-do-cua-chu-van-an-p-12-binh-thanh-id22412150
3350,40,10,4, Phường Bình Trị Đông A, Quận Bình Tân,3,2,Sổ hồng,14/01/2024,22466496,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/huong-lo-2-binh-tan-2-tang-40m2-3pn-nhinh-3-ty-id22466496
3500,50,5.5,9.5, Phường 5, Quận Gò Vấp,4,4,Sổ hồng,14/01/2024,22366350,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-day-nha-tro-4-can-9-5x5-5-120-1-luong-ngoc-quyen-p5-go-vap-id22366350
3500,60,15,4, Phường Phú Hữu, Quận 9 (TP. Thủ Đức),1,1,Sổ hồng,14/01/2024,22172789,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/ban-dat-mat-tien-duong-41-go-cat-phuong-phu-huu-quan-9-dt-62m2-id22172789
3550,38,11,3.5, Phường 15, Quận Tân Bình,2,2,Sổ hồng,14/01/2024,22458794,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-moi-don-tet-hem-o-to-kia-gan-ngan-hang-acb-3-55-ty-id22458794
3600,48,12,4, Phường Bình Hưng Hòa A, Quận Bình Tân,2,2,Sổ hồng,14/01/2024,22279546,https://mogi.vn/quan-binh-tan/mua-duong-noi-bo/176bta-ban-gap-nha-nga-tu-bon-xa-saucan-mat-tien-mieu-go-xoai-thue-7tr-id22279546
3750,36,8,4, Phường 5, Quận Bình Thạnh,2,2,Sổ hồng,14/01/2024,22178714,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/3-75ty-trung-tam-binh-thanh-hxh-goc-2-mat-tien-vi-tri-dep-36m2x2tan-id22178714
4100,51,12,4.2, Phường Sơn Kỳ, Quận Tân Phú,2,2,Sổ hồng,14/01/2024,22392337,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/nha-o-khu-an-ninh-bo-bao-tan-thang-di-bo-cho-son-ky-4-1-ty-id22392337
4300,105,21,5, Phường Đông Hưng Thuận, Quận 12,2,2,Sổ hồng,14/01/2024,22346529,https://mogi.vn/quan-12/mua-nha-hem-ngo/chi-30tr-m2-nha-2-mat-hem-truoc-sau-ngay-cho-cau-quang-trung-to-ky-id22346529
4300,55,13.6,4, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức),4,3,Sổ hồng,14/01/2024,22463418,https://mogi.vn/quan-9/mua-duong-noi-bo/nha-dep-truong-van-hai-quan-9-nha-55m2-4x-13-6-3-tang-gia-4-3-ty-id22463418
4300,92,24,4, Phường 15, Quận Bình Thạnh,6,4,Sổ hồng,14/01/2024,22144572,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/nhanh-nha-dien-bien-phu-binh-thanh-hem2-5m-vuong92m2-chi-4-3ty-40tr-m2-id22144572
4500,39,11,3.5, Phường 14, Quận Tân Bình,3,3,Sổ hồng,14/01/2024,22414819,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-3-tang-gan-mat-tien-duong-ba-van-bau-cat-4-5-ty-id22414819
4600,37,9,4.1, Phường 10, Quận Tân Bình,2,3,Sổ hồng,14/01/2024,22445669,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-4-tang-kien-co-lac-long-quan-gan-cho-tan-binh-4-6-ty-id22445669
4700,62,12,5.2, Phường 2, Quận Bình Thạnh,7,3,Sổ hồng,14/01/2024,22423817,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/nhinh-4-ty-62m2-3-tang-ngang-5-2m-hem-xe-may-tranh-vu-tung-p-2-bt-id22423817
4800,72,12,6, Phường Linh Xuân, Quận Thủ Đức (TP. Thủ Đức),4,3,Sổ hồng,13/01/2024,22468133,https://mogi.vn/quan-thu-duc/mua-duong-noi-bo/nha-hem-xe-hoi-nha-dep-3-tang-linh-xuan-thu-duc-4-ty-800tr-id22468133
4850,56,14,4, Phường Phú Thạnh, Quận Tân Phú,3,2,Sổ hồng,14/01/2024,22272712,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/chi-4ty85-tan-phu-nga-tu-bon-xa-hxh-5m-56m2-x3tang-3pn-k-id22272712
4900,40,10,4, Phường 2, Quận Phú Nhuận,4,4,Sổ hồng,14/01/2024,22452604,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ban-nha-cuc-dep-phan-dinh-phung-phu-nhuan-40m2-3-tang-nhinh-4-ty-tl-id22452604
